Id	SRR12237911	SRR12237910	SRR12237909	SRR12237908	SRR12237915	SRR12237914	SRR12237913	SRR12237912
ENSG00000008018.8	15153	13729	8167	8266	4579	4658	12545	12972
ENSG00000008056.11	3	5	8	7	1887	1767	1549	1467
ENSG00000008083.12	1539	1274	1055	1180	1739	1717	1540	1437
ENSG00000008086.9	1127.51	1039.84	323.848	343.556	778.959	776.246	1567.78	1524.1
ENSG00000008118.8	0	1	1	0	12	12	1	1
ENSG00000008128.21	2705.57	2424.37	418.457	407.539	1127.3	1151.56	1527.83	1424.93
ENSG00000008130.14	13567	12691	4529	4575	3713	3618	7510	7750
ENSG00000008196.11	9	6	3	6	2	0	20	20
ENSG00000008197.4	0	0	10	9	0	0	16	23
ENSG00000008226.18	50.1775	65.5213	15.4381	20.3274	17.4585	26.1454	129.836	100.893
ENSG00000008256.14	4243	4183	3185	2781	4141	4173	2364	2472
ENSG00000008277.13	1899	1620	3326	3444	4876	5179	2801	3045
ENSG00000008282.6	6751	6279	5296	5738	2534	2375	2143	2127
ENSG00000008283.14	15101	13692.9	8208.32	8555.7	4222.25	4131.04	5683.29	5837.68
ENSG00000008294.19	6478.35	5868.35	5629.81	5066.42	22582.5	22754.6	5863.9	7115.63
ENSG00000008300.13	730	744	1217	1303.75	7882.38	7349.51	6225.51	6401.85
ENSG00000008311.13	896.756	735.984	450.614	392.494	2535.16	2943.24	269.314	189.991
ENSG00000008323.14	73.4493	71.204	748.423	840.415	12.1851	11.3761	500.948	461.562
ENSG00000008324.9	1663	1486	1196	1291	676	645	1133	1082
ENSG00000008382.14	537.741	545.014	1105.96	1260.03	389.853	414.421	1590.98	1572.55
ENSG00000008394.11	42.1535	53.1949	32.1805	47.4081	24.9608	18.3429	224.671	230.138
ENSG00000008405.10	2256	2087	2062	1943	1916	1914	3539	4130
ENSG00000008438.4	2	3	7	5	11	10	9	9
ENSG00000008441.15	40863.3	35783.3	27829	30173.4	4453.12	4116.33	41.0986	48.0596
ENSG00000008513.13	20294.3	19477.8	20459	17359.3	2046.05	1966.17	142.454	184.609
ENSG00000008516.15	49	53	88	110	29	28	43	31
ENSG00000008517.15	172.343	192.392	5.28614	5.18479	9.45277	5.1971	237.4	171.648
ENSG00000008710.16	5787.75	5889.72	3080.07	3013.19	13086.8	11704.6	8521.97	8332.14
ENSG00000008735.13	335.797	265.645	4581.03	4279.36	6508.57	6273.77	2767.09	2796.97
ENSG00000008838.16	5801.96	5312.09	5830.87	5516.05	4723.31	4524.13	4464.73	4655.82
ENSG00000008853.15	2377.71	2180.3	2069.19	2202.42	1160.76	1178.61	1193.74	1524.14
ENSG00000008869.10	4186	3653	4100	3813	3704	3859	3146	3479
ENSG00000008952.15	8470.5	7456.97	7701.7	7416.55	3590.78	3672.94	5400.88	6147.39
ENSG00000008988.8	9985.08	9351.09	42764.1	42561.9	23882.8	24945.5	43065.7	42097.5
ENSG00000009307.14	78882.8	73066.6	38082.5	38564.4	31263.1	31228	35212	35839
ENSG00000009335.16	15536	13787	12876	11872	8967	8641	3718	4158
ENSG00000009413.14	2619.62	2527.31	2209.39	2137.16	3067.46	2842.2	5970.2	6428.31
