id	SRR925687	SRR925688	SRR925697	SRR925703	SRR925714	SRR925716	SRR925720	SRR925721	SRR925726	SRR934634	SRR934636
ENSG00000000003.13	9.13	10.12	13.89	11.66	20.88	5.99	8.11	9.27	12.06	1.54	1.73
ENSG00000000005.5	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.11	61.27	35.46	84.4	64.01	49.98	25.28	41.19	20.45	34.47	43.67	29.77
ENSG00000000457.12	2.15	3.27	2.1	4.62	2.9	1.92	3.83	2.68	3.96	2.36	1.03
ENSG00000000460.15	8.07	3.81	10.81	12.39	14.07	9.62	15.13	4.42	12.33	11.65	1.3
ENSG00000000938.11	0.43	0.06	0	0.07	0	0	0.42	0	0	0.21	0.05
ENSG00000000971.14	3.15	0.39	13.76	12.78	4.89	12.78	3.09	1.86	5.89	0	0
ENSG00000001036.12	12.79	25.4	79.13	44.44	81.79	45.82	23.45	54.26	63.27	30.9	14.57
ENSG00000001084.9	20.58	61.36	11.21	54.48	23.46	15.54	107.27	73.65	16.05	21.27	13.65
ENSG00000001167.13	7.14	8.85	34.69	47.35	10.96	23.18	12.19	19.34	15.49	14.49	42.3
ENSG00000001460.16	7.97	4.59	1.86	6.12	3.19	5.75	4.77	11.54	8.4	2.86	17.35
ENSG00000001461.15	30.99	25.65	0.81	1.42	0.82	20.07	20.18	23.55	7.99	32.76	10.52
ENSG00000001497.15	35.81	17.47	66.44	30.08	77.41	24.41	33.4	26.12	40.69	46.13	29.09
ENSG00000001561.6	0	0.05	2.37	0.24	1.3	0.81	0.05	0.15	2.19	0	0.55
ENSG00000001617.10	62.19	152.78	8.71	14.16	2.12	7.62	32.8	33.83	1.15	35.92	1.89
ENSG00000001626.13	0	0	0	0	0	0	0	0	0.04	0	0
ENSG00000001629.8	9.81	10.85	8.77	22.97	20.07	12.65	10.06	7.45	13.86	7.97	3.55
ENSG00000001630.14	72.48	36.17	13.45	54.34	42.53	31.83	57.62	23.32	40.17	19.68	4.62
ENSG00000001631.13	14.61	9.8	7.01	38.05	18.92	12.75	16.54	6.06	11.64	8.03	6.4
ENSG00000002016.15	10.73	6.26	4.89	10.94	11.96	7.37	7.54	8.55	8.83	8.91	16.72
ENSG00000002079.11	3.63	0.48	0	0.23	0	0	0	1.31	0	1.04	0
ENSG00000002330.12	89.76	174.31	59.39	40.01	15.59	75.95	89.09	102	108.54	67.17	80.48
ENSG00000002549.11	35.97	22.01	46.54	35.7	34.96	38.68	36.87	47.78	63.91	29.89	15.3
ENSG00000002586.16	136.75	93.18	260.15	192.49	51.56	119.94	166.37	228.78	160.57	115	147.32
ENSG00000002587.8	4.04	0.25	0	0.04	0	0.6	0.5	10.24	2.89	0.7	0
ENSG00000002726.18	0.16	4.29	0	0.09	0	0.03	0.48	0.32	0.37	2.42	0
ENSG00000002745.11	0	0	0	0	0	0.02	0	0	0	0	0
ENSG00000002746.13	0.47	0	0	0.08	8.23	3.84	0.84	0.69	4.02	3.27	3.44
ENSG00000002822.14	15.49	5.14	30.32	16.73	20.43	121.7	12.57	17.15	21.69	29.19	84.29
ENSG00000002834.16	119.45	79.92	146.57	42.8	124.34	91.16	60.25	123.92	122.26	84.2	24.21
ENSG00000002919.13	12.98	7.1	8.17	5	17.66	9.91	8.97	8.79	16.1	14.47	11.93
ENSG00000002933.6	0	0.21	0	0.33	0	0.03	0	1.09	1.21	0	0
ENSG00000003056.6	108.85	56.26	81.11	152.44	96.46	70.43	58.32	62.56	72.34	113.56	82.1
ENSG00000003096.12	6.75	1.72	0	2.34	0.1	1.23	1.97	0.48	0.03	1.34	0.22
ENSG00000003137.7	13.07	0	0.21	0.94	1.74	1.72	1.88	3.42	12.64	6.36	0.76
ENSG00000003147.16	2.34	6.51	0.93	0.44	0.37	0.03	6.36	8.45	6.33	6.87	11.31
ENSG00000003249.12	2.03	8.94	12.99	3.16	1.04	4.31	2.16	21.72	18.69	4.32	0.97
ENSG00000003393.13	8.15	2.24	8.76	8.54	18.82	10.24	7.25	5.68	9.87	7.92	17.02
ENSG00000003400.13	0.72	0.31	0	0.69	0	0.42	0.05	1.92	1.93	0.3	0
ENSG00000003402.18	14.91	13.52	21.57	15.59	18.76	12.73	18.27	35.08	21.54	9.02	10.03
ENSG00000003436.13	7.19	0.4	93.43	8.35	13.74	43	34.6	63.12	54.19	5.05	2.94
ENSG00000003509.14	6.39	5.91	8.87	8.31	10.83	5.46	9.33	8.8	9.2	7.21	5.16
ENSG00000003756.15	50.6	58.42	55.61	109.48	64.82	51.81	45.42	34.5	46.67	24.21	31.17
ENSG00000003987.12	0	0	0.08	0.1	0.03	0.6	0.59	0.04	0	0	0
ENSG00000003989.15	0.53	0.08	0	0.87	0.27	10.79	50.04	2.1	2.82	0.64	0.28
ENSG00000004059.9	242.35	198.29	124.77	238.49	73.48	107.15	193.68	178.67	111.6	327.39	186.88
ENSG00000004139.12	1.43	0.22	25.01	8.81	18.16	33.09	0	0.46	0.06	0.5	16.14
ENSG00000004142.10	107.8	74.34	79.54	49.77	114	83.88	95.25	131.03	90.1	139.4	77
ENSG00000004399.11	8.73	1.38	4.76	18.2	38.2	26.56	2.89	4.6	18.19	13.33	32.61
ENSG00000004455.15	192	84.43	192.96	148.53	255.4	136.26	131.9	108.53	153.45	262.83	198.99
ENSG00000004468.11	0	0	0	0.04	0.16	0	0	0	0.05	0	0
ENSG00000004478.7	98.68	39.09	47.82	83.78	113.78	26.38	64.14	58.61	62.14	119.53	49.35
ENSG00000004487.14	51.05	28.91	62.44	48.77	37.09	30.41	46.56	35.33	55.28	118.63	29.02
ENSG00000004534.13	13.98	13.31	34.17	30.85	18.37	15.26	19.19	17.76	23.81	9.32	10.17
ENSG00000004660.13	2.87	0.4	3.3	1.72	2.04	0.49	4.16	2.85	2.35	6.81	1.59
ENSG00000004700.14	25.45	7.06	20.3	51.95	29.64	15.15	25.62	10.8	23.76	18.53	6.18
ENSG00000004766.14	3.62	3.88	3.69	13.13	6.35	3.72	5.44	3.01	6.27	3.92	0.28
ENSG00000004776.10	0.14	0.05	0.26	0.51	0.66	8.08	0.06	0	0.17	0	0.73
ENSG00000004777.17	11.65	9.71	16.69	16.21	16.8	19	2.11	2.1	11.26	1.35	15.67
ENSG00000004779.8	126.65	99.46	152.14	111.72	86.89	72.38	141.35	166.53	132.37	124.94	120.7
ENSG00000004799.7	0.11	1.17	0	0.04	0.05	0	10.17	12.41	0.28	1.22	0
ENSG00000004809.12	0	0	0	0.31	0.06	0	0	0	0	0	0
ENSG00000004838.12	1.3	0.31	0.98	3.45	1.77	3.64	0.18	0.59	0.76	0.42	8.97
ENSG00000004846.15	0	0.01	0	0.08	0.04	0.02	0	0.02	0.02	0	0.02
ENSG00000004848.6	0.04	0.1	0	0	0	0	0	0	0	0	0
ENSG00000004864.12	13.89	5.2	15.25	24.54	20.45	8.62	22.44	9.73	28.77	23.59	7.4
ENSG00000004866.17	15.57	6.82	15.37	25.04	6.56	10.35	12.51	7.46	16.2	7.78	2.78
ENSG00000004897.10	40.72	28.54	26.87	52.15	94.06	37.89	40.15	33.64	72.01	16.8	16.24
ENSG00000004939.12	0	0.11	0.05	0.22	0.07	0.23	0.01	0.07	0.06	0.15	0.06
ENSG00000004948.12	0	0	0	0	0	0.02	0	0	0	0	0
ENSG00000004961.13	26.83	19.32	51.44	26.87	21.41	11.73	26.55	32.02	39.66	16.35	16.29
ENSG00000004975.10	30.75	21.99	45.63	28.13	24.28	53.9	18.86	20.66	45.12	35.36	88.59
ENSG00000005001.8	2.62	8.7	0	0	1.02	0	0	13.73	0.09	1.96	0
ENSG00000005007.11	62.61	38.53	36.41	30.19	26.67	65.11	45.3	33.04	54.46	49.89	60.51
ENSG00000005020.11	12.55	8.66	3.37	9.84	5.66	7.77	7.82	12.16	6.06	11.24	22.29
ENSG00000005022.5	649.24	547.24	1091.78	692.53	562.42	357.12	579.38	345.26	746.99	471.77	385.3
ENSG00000005059.14	8.52	1.7	17.18	7.82	8.34	1.42	8.55	12.25	14.24	2.58	5.93
ENSG00000005073.5	0.99	0	1.35	0.57	1.54	0.77	0.36	0.36	0	4.66	0.16
ENSG00000005075.14	93.32	56.15	59.52	63.28	33.13	66.69	97.51	90.49	104.99	193.18	78.24
ENSG00000005100.11	16.84	10.84	37.97	15.21	16.64	27.48	19.03	12.39	21.53	31.63	23.26
ENSG00000005102.11	0	0	0	0	0	0	0	0	0.15	0	0
ENSG00000005108.14	0	0	0	0.14	1.24	0.03	0	0	0	0	0.08
ENSG00000005156.10	10.03	8.7	14.5	12.15	27.57	14.41	17.04	13.34	13.28	23.89	21.16
ENSG00000005175.8	9.85	3.79	10.41	19.07	23.79	8.37	9.12	4.11	16.61	2.97	1.11
ENSG00000005187.10	0.1	1.87	0	0.41	1.52	0	0.29	0.43	0.18	0	0.44
ENSG00000005189.18	3.78	1.94	4.74	48.64	10.3	5.58	2.43	1.64	2.51	0.49	3.53
ENSG00000005194.13	44.09	28.3	52.72	34.04	47.61	32.51	52.74	41.96	75.9	44.16	35.78
ENSG00000005206.15	39.49	36.13	32.96	15.64	23.8	55.69	42.21	32.84	38.39	33.51	102.31
ENSG00000005238.18	7.99	16.78	10.49	4.97	5.31	7.92	9.02	49.75	9.02	29.47	22.63
ENSG00000005243.8	18.12	0	0	0.51	20.56	18.3	0.43	5.84	0.48	10.59	11.7
ENSG00000005249.11	0.03	0	0.36	0.67	1.18	0.41	0.06	0.37	1.83	0	1.68
ENSG00000005302.16	12.38	11.36	20.43	13.26	11.57	5.96	10.76	14.31	15.74	4.44	10.19
ENSG00000005339.11	11.98	9.55	14.35	21.03	20.14	25.76	10.31	9.71	14.61	8.45	47.32
ENSG00000005379.14	0	0	0.02	0.42	0.31	0.01	0.24	0	0.06	0.18	0
ENSG00000005381.7	0	0	0	0.02	0	0	0.14	0	0	0	0
ENSG00000005421.7	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005436.12	5.54	2.86	15.31	5.82	12.61	6.4	8.33	4.18	7.17	6.17	5.85
ENSG00000005448.15	89.76	80.04	26.61	13.92	21.11	41.37	14.88	20.59	62.38	23.28	37.14
ENSG00000005469.10	7.83	14.54	2.48	8.44	5.14	4.38	8.61	3.31	4.37	2.59	0.5
ENSG00000005471.14	0	0.04	0	0.18	0	0.07	0	0	0	0	0.03
ENSG00000005483.18	11.03	13.65	14.76	88.45	17	33.48	11.27	10.59	8.25	15.23	26.57
ENSG00000005486.15	44.31	38.28	27.22	47.3	33.79	57.61	37.56	43.88	46.67	59.46	33.94
ENSG00000005513.9	0	0	0.05	0.25	0	0	0	0	0	0	0
ENSG00000005700.13	4.04	4.61	7.49	13.66	11.18	5.31	8.11	6.89	6.17	1.18	1.96
ENSG00000005801.15	10.51	12.61	3.9	4.63	10.29	2.63	11.09	8.55	12.18	16.69	5.43
ENSG00000005810.16	8.42	10.08	6.11	17.48	6.87	13.41	14.1	6.33	5.68	17.79	14.05
ENSG00000005812.9	7.16	6.32	12.29	12.28	4.7	3.68	14.43	7.08	8.4	4.16	6.14
ENSG00000005844.16	0	0	0	0.38	0	0.48	0.41	0	0	0	0
ENSG00000005882.10	8.39	66.89	18.36	19.02	27.75	17.53	12.53	8.01	39.5	20.03	1.38
ENSG00000005884.16	380.42	211.13	172.54	72.25	335.5	109.75	244.89	538.42	155.95	384.89	48.65
ENSG00000005889.14	9.26	5.3	18.41	10.2	9.54	6.31	11.7	7.42	6.72	2.49	4.2
ENSG00000005893.14	65.41	77.08	152.19	123.19	79.61	30.51	45.1	61.69	48.27	9.97	19.64
ENSG00000005961.16	0.34	0.18	0	0.43	1.89	0.23	0	0	0.1	0	3.37
ENSG00000005981.11	0	0	0	0	0.01	0.02	0	0.25	0.02	0	0
ENSG00000006007.10	41.92	34.52	32.14	128.61	33.01	14.26	42.49	43.61	35.5	16.25	17.77
ENSG00000006015.16	51.87	38.94	36.31	22.84	4.38	61.23	32.33	60.83	40.14	54.54	100.14
ENSG00000006016.9	4.81	3.34	4.29	3.69	3.52	9.23	9.69	3.59	3.77	2.38	5.02
ENSG00000006025.10	9	12.45	2.82	4.5	7.1	4.53	2.76	10.01	9.39	0.76	1.51
ENSG00000006042.10	55.25	12.33	0.07	0.78	11.14	1.59	9.79	51.96	0.05	5.05	0.68
ENSG00000006047.11	0.07	0.02	0	3.2	0.14	0	0.05	0.88	0.24	0.04	51.86
ENSG00000006059.3	0.05	0	0	0	0	0	0	0	0	0	0
ENSG00000006062.12	17.75	5.24	20.56	4.37	25.71	11.89	5.03	3.96	9.12	8.18	21.49
ENSG00000006071.10	0.92	0.18	0	0.13	2.87	0.62	0	0	0.04	0	0.26
ENSG00000006116.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118.13	12.37	160.85	22.17	19.45	26.04	22.77	22.62	108.59	30.47	10.78	35.51
ENSG00000006125.15	70.58	61.8	44.44	59.63	161.44	36.14	67.37	55.95	103.82	54.74	38.61
ENSG00000006128.10	0	0	0	0	0	0.35	0	0	0	0	0
